Expt,Run,Speed,id
1,1,18.7,shAldh1b1
1,2,16.8,shAldh1b1
1,1,19,shAldh1b1
1,2,17,shAldh1b1
2,1,29.1,Auh
2,2,25.4,Auh
2,1,30,Auh
2,2,26,Auh
3,1,19.3,Cox15
3,2,23.8,Cox15
3,1,25,Cox15
3,2,16,Cox15
4,1,20.6,Gatm
4,2,13,Gatm
4,1,10,Gatm
4,2,22,Gatm
5,1,36.7,Id2
5,2,37.2,Id2
5,1,33,Id2
5,2,40,Id2
6,1,8.5,Mthfd2
6,2,20.9,Mthfd2
6,1,15,Mthfd2
6,2,18,Mthfd2
7,1,38.3,Ndufv1
7,2,21.6,Ndufv1
7,1,30,Ndufv1
7,2,25,Ndufv1
8,1,24.1,Pnp
8,2,21.8,Pnp
8,1,30,Pnp
8,2,35,Pnp
9,1,5.06,Tcf4
9,2,6.57,Tcf4
9,1,8,Tcf4
9,2,4,Tcf4
10,1,24.2,Tcirg1
10,2,10.5,Tcirg1
10,1,20,Tcirg1
10,2,15,Tcirg1
11,1,38.8,LacZ
12,2,36.8,LacZ
11,1,38.8,LacZ
12,2,36.8,LacZ